transcription,Spanish,English,Speaker,Citation,Length,Start,Stop,WAV,EAF,File,Token
tʂǐʔ,su (el/ella),his/her (formal),,BMAF01152021-1-combine:26:38.7,0:00.6,26:38.7,26:39.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[26_387-26_393].wav,40742289-2
ʂîskàkéʔ,su agua,their water (formal),,BMAF01292021-1-combine:26:36.4,0:01.5,26:36.4,26:38.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[26_364-26_380].wav,99066096-2
ʐíkwḛ̀ ʒàwbá jètʰ,su (resp) perro come tortilla,his/her (resp) dog eats tortilla,,BMAF01292021-1-combine:14:48.9,0:02.5,14:48.9,14:51.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[14_489-14_514].wav,10361275-1
bèɭ,pez,fish,,BMAF01082021-1-combine:35:08.3,0:00.4,35:08.3,35:08.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[35_083-35_088].wav,86547187-2
ʂnà̰ʒó,nuestra madre,our mother (inclusive),,BMAF01292021-1-combine:43:57.6,0:01.0,43:57.6,43:58.6,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[43_576-43_586].wav,22855367-2
lìʒkàkéʔ,su casa,their house (formal),,BMAF01152021-1-combine:36:11.9,0:01.0,36:11.9,36:12.9,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[36_119-36_129].wav,27483586-2
daʔ láwàʔ,parte de una cosa es tomada,part of thing being taken,,BMAF02102021-1-combine:46:20.0,0:01.0,46:20.0,46:20.9,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[46_200-46_209].wav,95526570-1
bèɳé,persona,person,,BMAF01082021-1-combine:33:01.6,0:00.6,33:01.6,33:02.2,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[33_016-33_022].wav,57456262-1
ʂnàziàʔ,madrastra,stepmother,,BMAF01152021-1-combine:45:12.7,0:01.7,45:12.7,45:14.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[45_127-45_144].wav,58802503-1
ʒàwàʔ,Estoy comiendo,I'm eating,,BMAF01082021-1-combine:49:06.7,0:00.7,49:06.7,49:07.4,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[49_067-49_074].wav,51695914-2
jà̰,montaña,mountain,,BMAF01152021-1-combine:22:19.5,0:00.8,22:19.5,22:20.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[22_195-22_203].wav,54007696-2
ʂnàkàkéʔ,su madre,their mother (formal),,BMAF01292021-1-combine:44:49.5,0:01.4,44:49.5,44:50.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[44_495-44_509].wav,11938818-1
nːi,,,,BMAF02102021-1-combine:33:01.4,0:00.5,33:01.4,33:01.9,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_014-33_019].wav,45467651-1
lìʒéʔ,su/usted casa (el/ella),his/her house (formal),,BMAF01152021-1-combine:32:51.2,0:00.8,32:51.2,32:52.1,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[32_512-32_521].wav,50991027-2
nèdá blèlá bèné bjǒ zẫn jôdôʔ nàʒâ,Ví muchos hombres en la iglesia hoy,I saw a lot of men in church today,,BMAF01082021-1-combine:25:49.2,0:04.1,25:49.2,25:53.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[25_492-25_533].wav,76330802-1
ʈʂíɻ,pájaro,bird,,BMAF01082021-1-combine:40:03.7,0:00.6,40:03.7,40:04.3,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[40_037-40_043].wav,30553627-1
ʈʂíɻ,pájaro,bird,,BMAF01082021-1-combine:39:43.7,0:00.4,39:43.7,39:44.1,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[39_437-39_441].wav,30553627-2
líʃʒóʔ,nuestra casa,our hourse (inclusive),,BMAF01152021-1-combine:33:28.7,0:00.9,33:28.7,33:29.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[33_287-33_296].wav,64391041-1
ʒàwà,Estoy comiendo,I am eating,,BMAF01082021-1-combine:48:52.7,0:00.9,48:52.7,48:53.5,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[48_527-48_535].wav,20258593-1
nà̰tgé wḛ̀ʁá nìss,Tomé agua ahora,I drank water right now,,BMAF02032021-1-combine:30:19.1,0:01.5,30:19.1,30:20.7,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[30_191-30_207].wav,35772700-2
ʂîstóʔ,nuestra agua,our water (exclusive),,BMAF01292021-1-combine:24:07.9,0:01.2,24:07.9,24:09.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[24_079-24_090].wav,80886824-1
jà̰g,árbol,tree,,BMAF01082021-1-combine:40:40.1,0:00.6,40:40.1,40:40.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[40_401-40_407].wav,41766566-1
wênlḛ̀,muy sano,very healthy,,BMAF02032021-1-combine:38:42.3,0:00.8,38:42.3,38:43.1,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[38_423-38_431].wav,08583564-2
ʐíkòbéʔ ʒàwbá jètʰ,su perro come tortilla,his/her.familiar dog eats tortilla,,BMAF01292021-1-combine:14:32.8,0:02.2,14:32.8,14:35.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[14_328-14_350].wav,43257675-1
wʂê gòláʔ,leeré mañana,I will read tomorrow,,BMAF02172021-1-combine:43:46.7,0:01.1,43:46.7,43:47.8,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[43_467-43_478].wav,00405992-1
lîn pkaʔ,toma eso,take that,,BMAF02172021-1-combine:20:57.8,0:01.9,20:57.8,20:59.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[20_578-20_597].wav,00585502-1
ʒàwbáʔ,come,eat,,BMAF01292021-1-combine:05:15.2,0:00.9,5:15.2,5:16.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[05_152-05_160].wav,86640432-1
ʐíkò ʒàwbá jètʰ,tu perro come tortilla,your dog eats tortilla,,BMAF01292021-1-combine:14:02.6,0:01.9,14:02.6,14:04.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[14_026-14_044].wav,50599305-2
t͡ʂà̰ʔ,sartén,pan,,BMAF01082021-1-combine:47:02.2,0:00.4,47:02.2,47:02.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[47_022-47_026].wav,65786469-1
nèðà ʒḛ̂ʁá nîss jòɣòʒà,yo tomo agua todos los días,I drink water everyday,,BMAF02032021-1-combine:06:48.6,0:02.8,6:48.6,6:51.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[06_486-06_514].wav,80344295-1
ʂnà̰léʔ,su madre (vuestra),your pl. mother,,BMAF01292021-1-combine:44:26.9,0:01.1,44:26.9,44:28.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[44_269-44_280].wav,75810112-2
ʂákàkbéʔ,su padre,their father (informal),,BMAF01292021-1-combine:38:42.3,0:01.2,38:42.3,38:43.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[38_423-38_435].wav,86089283-2
nìa̰ʔ,decir,say,,BMAF01152021-1-combine:06:05.3,0:00.7,6:05.3,6:06.0,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_053-06_060].wav,49907814-2
ʐíkòbéʔ,su (fam) perro,his/her (familiar) dog,,BMAF01292021-1-combine:09:22.6,0:01.5,9:22.6,9:24.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[09_226-09_241].wav,52583950-1
ʐíkòʒó,nuestro (incl) perro,our (incl) dog,,BMAF01292021-1-combine:10:57.1,0:00.8,10:57.1,10:57.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[10_571-10_579].wav,89204318-1
léːn,eso,that,,BMAF02172021-1-combine:20:25.4,0:00.7,20:25.4,20:26.1,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[20_254-20_261].wav,18495492-2
lːe,,,,BMAF02102021-1-combine:42:59.5,0:00.5,42:59.5,43:00.0,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[42_595-43_000].wav,05957366-1
dànà lín(ŋ) màrgàrìtà,se llama margarita,the name of that (thing) is Margarita,,BMAF02172021-1-combine:25:02.0,0:02.0,25:02.0,25:04.0,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[25_020-25_040].wav,06582776-2
nèdá lâl nís wèʁá nèʁê,bebí mucha agua ayer,I drank a lot of water yesterday,,BMAF01082021-1-combine:17:36.4,0:02.3,17:36.4,17:38.7,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[17_364-17_387].wav,25906558-1
ʂéʔ,su padre (el/ella),his/her father (informal),,BMAF01292021-1-combine:35:42.6,0:00.7,35:42.6,35:43.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[35_426-35_433].wav,44509717-1
nèʁè bèláʔ,Leí ayer,I read yesterday,,BMAF02172021-1-combine:41:39.4,0:01.5,41:39.4,41:40.9,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[41_394-41_409].wav,81398745-2
ʂîsʒóʔ,nuestra agua,our water (inclusive),,BMAF01292021-1-combine:23:48.5,0:01.2,23:48.5,23:49.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[23_485-23_497].wav,53009365-2
lìʒóʔ,tu casa,your house,,BMAF01292021-1-combine:07:37.2,0:01.0,7:37.2,7:38.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[07_372-07_382].wav,77497519-1
ʂîsèʔ,su agua,his/her.formal water,,BMAF01292021-1-combine:23:20.9,0:01.3,23:20.9,23:22.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[23_209-23_223].wav,13885505-1
ʐíkòtó,nuestro (excl) perro,our (excl) dog,,BMAF01292021-1-combine:11:13.2,0:01.1,11:13.2,11:14.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[11_132-11_143].wav,37132102-1
bèné bjǒ zá̃n,hombres,men,,BMAF01082021-1-combine:26:08.6,0:01.3,26:08.6,26:09.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[26_086-26_099].wav,75053796-1
ʂnâ̰,mi madre,my mother,,BMAF01152021-1-combine:41:34.8,0:00.7,41:34.8,41:35.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[41_348-41_354].wav,90630695-2
nèʁé wèʁà̰ nîss,Tomé agua ayer,I drank water yesterday,,BMAF02032021-1-combine:18:27.4,0:01.7,18:27.4,18:29.1,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[18_274-18_291].wav,65303848-2
ʂîsʒóʔ,nuestra agua,our water (inclusive),,BMAF01292021-1-combine:23:40.7,0:01.0,23:40.7,23:41.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[23_407-23_418].wav,53009365-2
wênlḛ̀ zó dà̰ ʒḛ̀ʁò nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:42:44.7,0:02.9,42:44.7,42:47.6,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[42_447-42_476].wav,51131713-2
tʂèkàkbéʔ,sus/ustedes,their,,BMAF01152021-1-combine:30:39.8,0:00.8,30:39.8,30:40.6,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[30_398-30_406].wav,24372027-1
nèðá nèzlá nìaʔ làjáʔ ʂíʒàʔ,Yo sé decir diente en Zapoteco,I know how to say tooth in Zapotec,,BMAF01152021-1-combine:15:28.9,0:03.5,15:28.9,15:32.4,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[15_289-15_324].wav,61079727-1
,su agua,their.formal water,,BMAF01292021-1-combine:26:00.0,0:01.4,26:00.0,26:01.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[26_000-26_015].wav,87281991-1
ʐíkòlé,vuestro perro,your.plr dog,,BMAF01292021-1-combine:11:44.3,0:00.9,11:44.3,11:45.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[11_443-11_452].wav,57236189-1
ʂàʒóʔ,nuestro padre,our father (inclusive),,BMAF01292021-1-combine:42:01.0,0:01.2,42:01.0,42:02.2,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[42_010-42_022].wav,05494573-2
,decir,,,BMAF01152021-1-combine:06:03.8,0:00.7,6:03.8,6:04.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_038-06_045].wav,22537078-1
ʂîsléʔ,tu/su agua,your.pl water,,BMAF01292021-1-combine:25:48.0,0:00.9,25:48.0,25:48.9,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[25_480-25_489].wav,94225679-1
wʂê gòláʔ,leeré mañana,I will read tomorrow,,BMAF02172021-1-combine:43:49.2,0:01.4,43:49.2,43:50.6,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[43_492-43_506].wav,00405992-2
lén,eso,that,,BMAF02172021-1-combine:18:08.5,0:01.2,18:08.5,18:09.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[18_085-18_097].wav,59535688-2
láwàʔ,,part of thing being taken,,BMAF02102021-1-combine:44:54.2,0:00.8,44:54.2,44:54.9,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[44_542-44_549].wav,66677005-1
ʃê jḛ̀ʁá nìss,Tomaré agua mañana,I will drink water tomorrow,,BMAF02032021-1-combine:32:10.4,0:01.7,32:10.4,32:12.1,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[32_104-32_121].wav,25557211-1
ʒíʔkòʔ,tu perro,your dog,,BMAF01292021-1-combine:07:32.9,0:00.8,7:32.9,7:33.7,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[07_329-07_337].wav,87215011-1
nà̰tgé wḛ̀ʁá nìss,Tomé agua ahora,I drank water right now,,BMAF02032021-1-combine:29:57.0,0:01.9,29:57.0,29:58.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[29_570-29_589].wav,35772700-2
jôdǒ,iglesia,church,,BMAF01082021-1-combine:26:21.8,0:00.8,26:21.8,26:22.6,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[26_218-26_226].wav,42584437-1
lḛ̂ ɣàkbè ʒḛ̂ʁɣàkbè nìss jòɣòʒà,ellos toman agua todos los días,they.fam drink water everyday,,BMAF02032021-1-combine:47:36.7,0:03.4,47:36.7,47:40.1,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[47_367-47_401].wav,94073399-1
líʃtóʔ,,our house (exclusive),,BMAF01152021-1-combine:34:09.2,0:00.8,34:09.2,34:10.1,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[34_092-34_101].wav,26778388-1
líʒbéʔ,tu casa (el/ella),his/her house (informal),,BMAF01152021-1-combine:32:26.4,0:00.8,32:26.4,32:27.2,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[32_264-32_272].wav,01191619-1
bʒòwá lén wsê,salí con Jose,I went out with Jose,,BMAF02172021-1-combine:26:30.1,0:02.2,26:30.1,26:32.3,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[26_301-26_323].wav,91093368-2
lén,se llama,it's called,,BMAF02172021-1-combine:13:57.3,0:01.2,13:57.3,13:58.5,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[13_573-13_585].wav,42644990-1
tʂǐʔ,su (el/ella),his/her formal,,BMAF01152021-1-combine:26:25.0,0:00.8,26:25.0,26:25.8,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[26_250-26_258].wav,66100515-1
nò̰ɺé,mujer,woman,,BMAF01082021-1-combine:01:25.3,0:00.5,1:25.3,1:25.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[01_253-01_258].wav,01559206-2
jògòʒà ʒḛ̂ʁá nîss,yo tomo agua todos los días,I drink water everyday,,BMAF02032021-1-combine:08:59.4,0:01.8,8:59.4,9:01.2,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[08_594-09_012].wav,84234686-1
ʐíkwà ʒàwbá jèt,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:04:59.5,0:01.9,4:59.5,5:01.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[04_595-05_014].wav,78407342-2
daʔ láwàʔ,parte de una cosa es tomada,part of thing being taken,,BMAF02102021-1-combine:45:08.2,0:01.0,45:08.2,45:09.2,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[45_082-45_092].wav,95526570-2
ʂnà̰léʔ,su madre (vuestra),your pl. mother,,BMAF01292021-1-combine:44:34.4,0:00.9,44:34.4,44:35.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[44_344-44_353].wav,75810112-2
ɺa,,,,BMAF02102021-1-combine:43:03.1,0:00.7,43:03.1,43:03.8,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[43_031-43_038].wav,47043465-1
ʐíkwà ʒàwbá jèt,mi perro come tortilla,my dog eats tortilla,,BMAF01292021-1-combine:05:44.6,0:02.3,5:44.6,5:47.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[05_446-05_470].wav,78407342-2
ʐíkòbéʔ ʒàwbá jètʰ,su perro come tortilla,his/her dog eats tortilla,,BMAF01292021-1-combine:14:40.5,0:02.3,14:40.5,14:42.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[14_405-14_428].wav,58960046-1
bèɭ,pez,fish,,BMAF01082021-1-combine:34:11.3,0:00.5,34:11.3,34:11.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[34_113-34_118].wav,86547187-2
nès,camino,path,,BMAF01152021-1-combine:21:08.6,0:00.7,21:08.6,21:09.3,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[21_086-21_093].wav,23878717-2
ʂnà̰bèʔ,tu madre (el/ella),his/her mother (informal),,BMAF01292021-1-combine:45:41.2,0:01.1,45:41.2,45:42.3,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[45_412-45_423].wav,00559111-2
jògòʒá ʒòláʔ,Leo todos los dias,I read everyday,,BMAF02172021-1-combine:37:35.8,0:02.1,37:35.8,37:38.0,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[37_358-37_380].wav,24960248-2
bá bèláʔ,Ya he leído,I have already read,,BMAF02172021-1-combine:44:35.9,0:00.8,44:35.9,44:36.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[44_359-44_367].wav,52495152-2
ʒɾíkwà,mi perro,my dog,,BMAF01292021-1-combine:04:14.9,0:00.8,4:14.9,4:15.8,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[04_149-04_158].wav,44023689-2
no,,,,BMAF02102021-1-combine:33:06.7,0:00.5,33:06.7,33:07.2,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[33_067-33_072].wav,96724965-2
nèdá wèʁá lâl nís̺ nèʁê,Ayer bebí mucha agua,I drank a lot of water yesterday,,BMAF01082021-1-combine:14:07.6,0:03.2,14:07.6,14:10.9,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[14_076-14_109].wav,04396738-1
ʒàwàʔ,Estoy comiendo,I'm eating,,BMAF01082021-1-combine:49:21.8,0:00.7,49:21.8,49:22.5,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[49_218-49_225].wav,51695914-2
nèðá jḛ̀ʁá nìss ʃê,Tomaré agua mañana,I will drink water tomorrow,,BMAF02032021-1-combine:32:55.9,0:02.5,32:55.9,32:58.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[32_559-32_584].wav,05282330-1
ʂísáʔ,mi agua,my water,,BMAF01292021-1-combine:21:34.6,0:00.9,21:34.6,21:35.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[21_346-21_355].wav,04785141-2
nèðà ʒḛ̂ʁá nîss jògòʒà,yo tomo agua todos los días,I drink water everyday,,BMAF02032021-1-combine:07:07.1,0:02.3,7:07.1,7:09.4,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[07_071-07_094].wav,24676088-1
ʒɾíkwà,mi perro,my dog,,BMAF01292021-1-combine:04:11.3,0:00.7,4:11.3,4:12.0,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[04_113-04_120].wav,44023689-2
wênlḛ̀ zó dà̰ ʒḛ̀ʁò nìss jòɣòʒà,Estas sano porque tomas agua todos los días,You are a healthy person because you drink water everyday,,BMAF02032021-1-combine:38:27.1,0:02.9,38:27.1,38:30.0,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[38_271-38_300].wav,51131713-2
ʂîsʒóʔ,nuestra agua,our water (inclusive),,BMAF01292021-1-combine:24:56.3,0:00.8,24:56.3,24:57.1,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[24_563-24_571].wav,53009365-2
nà̰tgé wḛ̀ʁá nìss,Tomé agua ahora,I drank water right now,,BMAF02032021-1-combine:30:15.3,0:01.6,30:15.3,30:16.9,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[30_153-30_169].wav,35772700-2
nàtʰgè ʒòláʔ,Estoy leyendo ahora,I am reading now,,BMAF02172021-1-combine:43:07.1,0:01.5,43:07.1,43:08.7,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[43_071-43_087].wav,40633686-2
nìa̰ʔ,,say,,BMAF01152021-1-combine:06:03.8,0:00.7,6:03.8,6:04.5,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[06_038-06_045].wav,44487148-1
lén,con,with,,BMAF02172021-1-combine:15:18.6,0:00.8,15:18.6,15:19.4,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[15_186-15_194].wav,88269603-1
nèdâ blèɺà̰ tó nòɺé nèʁê,Ví una mujer ayer,I saw a woman yesterday,,BMAF01082021-1-combine:04:32.2,0:02.0,4:32.2,4:34.2,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[04_322-04_342].wav,58120974-1
dàʔ láwèʔ,,Take part of it,,BMAF02172021-1-combine:06:34.0,0:01.9,6:34.0,6:35.9,BMAF02172021-1-combine.wav,BMAF02172021-1-combine.eaf,BMAF02172021-1-combine[06_340-06_359].wav,46728062-1
ʒèbèlḛ̀lá jògòltè,Me gusta; todos/as,I like; all,,BMAF01152021-1-combine:40:04.3,0:01.6,40:04.3,40:05.9,BMAF01152021-1-combine.wav,BMAF01152021-1-combine.eaf,BMAF01152021-1-combine[40_043-40_059].wav,31346761-1
ʒêʁò nìss jògòʒà,¿Tomas agua todos los días?,Do you drink water everyday?,,BMAF02032021-1-combine:12:53.1,0:01.4,12:53.1,12:54.5,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[12_531-12_545].wav,00866791-1
ʒìtʰ,huevo,egg,,BMAF01082021-1-combine:41:14.1,0:00.7,41:14.1,41:14.8,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[41_141-41_148].wav,84213357-2
ríkwà̰,mi perro,my dog,,BMAF01292021-1-combine:06:12.7,0:00.8,6:12.7,6:13.5,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[06_127-06_135].wav,51183858-1
ʂàléʔ,su padre,your pl. father,,BMAF01292021-1-combine:38:17.3,0:01.1,38:17.3,38:18.4,BMAF01292021-1-combine.wav,BMAF01292021-1-combine.eaf,BMAF01292021-1-combine[38_173-38_184].wav,28090825-1
,,part of thing being taken,,BMAF02102021-1-combine:44:55.1,0:00.7,44:55.1,44:55.9,BMAF02102021-1-combine.wav,BMAF02102021-1-combine.eaf,BMAF02102021-1-combine[44_551-44_559].wav,28490593-1
nàʒâ,hoy,today,,BMAF01082021-1-combine:26:33.4,0:00.6,26:33.4,26:34.0,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[26_334-26_340].wav,26602063-1
βiú zḛ̀nò,no hace falta (literal: no extiendes los manos),there's no need,,BMAF02032021-1-combine:23:55.9,0:01.1,23:55.9,23:57.0,BMAF02032021-1-combine.wav,BMAF02032021-1-combine.eaf,BMAF02032021-1-combine[23_559-23_570].wav,82229901-1
bèné bjǒ zân bɭḛ̀ɭá jôdô nàʒâ,Hoy ví muchos hombres en la iglesia,I saw a low of men in church today,,BMAF01082021-1-combine:28:42.5,0:02.7,28:42.5,28:45.2,BMAF01082021-1-combine.wav,BMAF01082021-1-combine.eaf,BMAF01082021-1-combine[28_425-28_452].wav,20797756-1
